a,b,c,d,e,f,g,br
0.026192482,-0.019922619,0.044921999,0.182600633,0.315872269,0.817399367,0.012619797,1
0.085793919,-0.875414595,-0.102756234,-0.091428085,-0.110063736,1.091428085,0.031440152,1
-0.069941205,-0.218453663,-0.049282833,0.32497481,-0.074451739,0.67502519,-0.06583442,1
0.092750462,0.025986454,0.141542792,0.033021374,0.073990676,0.966978626,0.143360014,1
0.061938648,-0.012229895,0.039853155,0.519624137,0.01456123,0.480375863,0.066514259,1
-0.013548324,0.046591919,0.085525155,-0.050275298,-0.8794101,1.050275298,0.078933816,1
-0.064831471,0,-0.003053299,0.105321509,-0.023297794,0.894678491,-0.093117753,1
-0.082871022,0.26332314,0.111187955,0.3941523,0.054039146,0.6058477,0.056575538,1
0.520265872,-0.274538763,-0.013507781,0.454069483,-0.012623035,0.545930517,0.046736168,1
-0.008288318,-0.205752567,-0.288326983,0.117160572,-0.205752567,0.882839428,0.114140421,1
0.285052974,-2.629545021,0.077145183,-0.915224375,-0.070613417,1.915224375,0.128401124,1
-0.197813814,-1.168241848,-0.138769369,0.422700027,-0.247991643,0.577299973,-0.169348621,1
-0.173409491,-0.530569721,0.125771236,-0.260018972,-0.063123779,1.260018972,0.076590509,1
0.00402398,-0.01123952,0.108813561,0.520463318,0.060387691,0.479536682,0.120239722,1
0.165116154,0.31389732,-0.068952231,0.469237061,-0.092312483,0.530762939,0.012474413,1
0.077580314,-0.066985646,-0.032809296,-0.010252905,-0.066985646,1.010252905,0.173957621,1
-0.048535603,1.165579518,0.075826887,0.143330057,-0.033493173,0.856669943,0.096331293,1
0.041720315,0,0.004861096,0.429102198,-0.016280034,0.570897802,0.037492089,1
0.154043075,0.008760922,0.000930411,0.631989287,-0.026049715,0.368010713,0.042920809,1
0.008027896,-0.636627131,-0.011342051,-0.083098518,-0.071099663,1.083098518,-0.01026156,1
-0.114471787,-0.155706949,-0.040217171,0.179088115,-0.109244794,0.820905359,-0.051075742,1
-3.349185594,-29.18790049,-2.878668601,-3.059293119,-3.093571141,4.059293119,-0.440886369,1
-0.565478424,-13.11144465,-9.550469043,-0.735834897,-9.547842402,1.735834897,-6.471669794,1
-4.495850773,-31.07508885,-0.511941285,-4.930837999,-0.82257384,5.930837999,0.147323758,1
0.183413929,0.080188297,0,0.245074202,-0.003367913,0.754925798,0.089015561,1
-25517.11364,-117262.9318,-1774.977273,-25517.11364,-3093.977273,25518.11364,-1130.931818,1
-0.143180384,-3.054984632,-1.30337628,-0.270243166,-2.2921242,1.270243166,-0.923231082,1
-0.258162181,-2.401125516,-1.006232308,0.286802156,-1.659405375,0.713197844,-0.391031128,1
0.146490921,-0.511292582,0.031285954,0.374446626,-0.003304612,0.625553374,0.00040018,1
-0.046848324,-1.158084185,-0.009579076,0.261225348,-0.182978008,0.738774652,0.131743829,1
-0.046114848,-0.69147899,-0.127278931,0.166764161,-0.232719119,0.833235839,-0.092424686,1
0.396090028,0.194524631,0.01774273,0.424370438,-0.008179023,0.575641296,0.016557535,1
0.010941996,0.139461241,0.081627683,0.284508314,0.029933107,0.715491686,0.10753162,0
0.13159863,0.48643861,0.099555171,0.572806361,0.065425343,0.427193639,0.139117427,0
-0.069827147,0.384810181,0.040593382,0.614587342,0.057936961,0.385412658,-0.002575106,0
-0.003036719,0.147883224,0.12800853,0.204064304,0.072459472,0.795935696,0.062428862,0
0.088074923,1.102108326,0.213578625,0.630964759,0.125656569,0.369035241,0.164524095,0
0.162469267,0.095125368,0.094687908,0.583073072,0.057996655,0.416926928,-0.046625468,0
0.587474684,0.166871607,0.145584781,0.815604949,0.110916572,0.184395051,0.208832565,0
-0.127110435,0.42402077,0.127936089,0.175661274,-0.054885946,0.824338726,0.038372878,0
0.121629496,0.500904255,0.086595745,0.689326871,7.46412E-05,0.310673129,0.166403499,0
-0.308550079,-7.534235849,-0.262945249,0.285740106,-0.356938261,0.714259894,0.238635084,0
0.158013669,0.451277295,0.277716641,0.722234377,0.143162233,0.277765623,0.160635856,0
0.45792144,0.351821888,-0.001705332,0.586559294,-0.00304666,0.413440706,0.014236029,0
0.176972697,0.002834119,0.326308851,0.3511687,0.212561282,0.6488313,0.260659946,0
0.362793492,0.76031235,0.170187649,0.641960735,0.133415823,0.358039265,-0.061384278,0
0.051062965,0.127283321,0.110048138,0.461893334,0.050385474,0.538106666,0.087756142,0
1.351240722,0.098236018,0.472362118,0.527637882,0.057832729,0.10290221,0.057832729,0
-0.112742316,0.063578042,0.742469008,0.236387461,0.036909372,0.132554639,0.036909372,0
-0.344081854,0.122658263,-0.218278453,1.218278453,-0.019089911,0.103387185,-0.019089911,0
0.231145367,0.066210137,0.849379244,0.150620756,0.0443077,0.153869215,0.0443077,0
0.62555806,0.094473795,0.657385838,0.342614162,0.071202659,0.10411501,0.071202659,0
-0.230538882,0.061911198,0.561261942,0.438738058,0.066800493,-0.038478356,0.066800493,0
0.031224512,-0.040528489,0.156794581,0.843205419,-0.063723193,-0.094599307,-0.063723193,0
-5.207852466,10.40323021,-1.969158762,2.969158762,-2.405598777,-0.366745873,-2.405598777,0
-1.249618093,0.16951742,0.486619053,0.513380947,0.111863281,-0.114998308,0.111863281,0
0.345477003,0.150099049,0.666074197,0.333925803,0.08837324,0.12456152,0.08837324,0
-0.565437309,-0.000629318,0.038001393,0.961998607,-0.099304385,0.033478379,-0.099304385,0
-13.66300279,-0.659592158,-0.43685495,1.43685495,-0.713369262,-0.44206976,-0.713369262,0
