a,b,c,d,e,f,g,br
-0.75145,-0.22757,-0.05286,0.00038,-0.01282,0.999619514,0.000145064,1
0.06178,-1.33702,0.07764,-0.33007,-0.01938,1.330065895,-0.038586876,1
-0.13055,-0.41046,-0.04565,0.29189,-0.09155,0.708111427,-0.086806176,1
-1.20802,-0.35553,-0.10010,-0.35125,-0.22417,1.351250417,-0.002673808,1
-0.01037,-0.02695,0.01507,0.17017,-0.01145,0.819170732,0.031661265,1
-0.44778,-0.61842,-0.55162,-0.11615,-0.09667,1.116146481,0.006836675,1
-0.14674,-0.48874,-0.48874,-0.39582,-0.42717,1.395822418,-0.01669808,1
-0.09667,0.19260,-0.72690,-0.07256,-0.78591,1.072555597,-0.033075076,1
0.04773,-1.46315,-0.61648,-0.08230,-0.61739,1.082300137,-0.0038468,1
-0.62633,-0.48676,0.04434,0.01432,0.02201,0.985677949,0.122901808,1
0.24052,-2.90460,0.16510,-1.06182,-0.05327,2.061824115,0.127669251,1
0.13364,-0.31379,-0.05586,0.70992,-0.05444,0.290075876,-0.029830583,1
-0.02474,0.00000,-0.31687,0.05145,0.44227,0.948549166,0.014202824,1
0.00982,-0.19639,0.62032,0.47345,-0.22636,0.526549362,0.081663478,1
0.03385,0.35587,0.05010,0.55489,-0.00161,0.445106849,0.040385169,1
0.14326,-0.52766,0.31206,-0.32695,0.15816,1.326950355,0.204255319,1
-0.13103,1.48675,0.11922,0.24267,0.03509,0.757330418,0.115524673,1
0.11313,0.01204,0.06695,0.17512,0.02516,0.824878494,0.024902862,1
0.21087,-0.03564,0.02340,0.63573,0.00659,0.364265506,-0.052778281,1
-0.90014,-1.08691,-0.01024,-0.27604,-0.11952,1.276037807,0.007484197,1
-0.14337,-0.35313,-0.05370,0.00003,-0.04301,0.976283917,-0.070423434,1
-10.51953,-63.73833,-4.69488,-10.47495,-7.01650,11.47495394,-0.258487817,1
-8.89172,-38.10117,-4.44147,-8.06564,-8.18771,9.065635452,-1.119147157,1
