a,b,c,d,br
0.026192482,-0.019922619,0.044921999,0.182600633,1
0.085793919,-0.875414595,-0.102756234,-0.091428085,1
-0.069941205,-0.218453663,-0.049282833,0.32497481,1
0.092750462,0.025986454,0.141542792,0.033021374,1
0.061938648,-0.012229895,0.039853155,0.519624137,1
-0.013548324,0.046591919,0.085525155,-0.050275298,1
-0.064831471,0,-0.003053299,0.105321509,1
-0.082871022,0.26332314,0.111187955,0.3941523,1
0.520265872,-0.274538763,-0.013507781,0.454069483,1
-0.008288318,-0.205752567,-0.288326983,0.117160572,1
0.285052974,-2.629545021,0.077145183,-0.915224375,1
-0.197813814,-1.168241848,-0.138769369,0.422700027,1
-0.173409491,-0.530569721,0.125771236,-0.260018972,1
0.00402398,-0.01123952,0.108813561,0.520463318,1
0.165116154,0.31389732,-0.068952231,0.469237061,1
0.077580314,-0.066985646,-0.032809296,-0.010252905,1
-0.048535603,1.165579518,0.075826887,0.143330057,1
0.041720315,0,0.004861096,0.429102198,1
0.154043075,0.008760922,0.000930411,0.631989287,1
0.008027896,-0.636627131,-0.011342051,-0.083098518,1
-0.114471787,-0.155706949,-0.040217171,0.179088115,1
-3.349185594,-29.18790049,-2.878668601,-3.059293119,1
-0.565478424,-13.11144465,-9.550469043,-0.735834897,1
-4.495850773,-31.07508885,-0.511941285,-4.930837999,1
0.183413929,0.080188297,0,0.245074202,1
-25517.11364,-117262.9318,-1774.977273,-25517.11364,1
-0.143180384,-3.054984632,-1.30337628,-0.270243166,1
-0.258162181,-2.401125516,-1.006232308,0.286802156,1
0.146490921,-0.511292582,0.031285954,0.374446626,1
-0.046848324,-1.158084185,-0.009579076,0.261225348,1
-0.046114848,-0.69147899,-0.127278931,0.166764161,1
0.396090028,0.194524631,0.01774273,0.424370438,1
0.010941996,0.139461241,0.081627683,0.284508314,0
0.13159863,0.48643861,0.099555171,0.572806361,0
-0.069827147,0.384810181,0.040593382,0.614587342,0
-0.003036719,0.147883224,0.12800853,0.204064304,0
0.088074923,1.102108326,0.213578625,0.630964759,0
0.162469267,0.095125368,0.094687908,0.583073072,0
0.587474684,0.166871607,0.145584781,0.815604949,0
-0.127110435,0.42402077,0.127936089,0.175661274,0
0.121629496,0.500904255,0.086595745,0.689326871,0
-0.308550079,-7.534235849,-0.262945249,0.285740106,0
0.158013669,0.451277295,0.277716641,0.722234377,0
0.45792144,0.351821888,-0.001705332,0.586559294,0
0.176972697,0.002834119,0.326308851,0.3511687,0
0.362793492,0.76031235,0.170187649,0.641960735,0
0.051062965,0.127283321,0.110048138,0.461893334,0
1.351240722,0.098236018,0.472362118,0.527637882,0
-0.112742316,0.063578042,0.742469008,0.236387461,0
-0.344081854,0.122658263,-0.218278453,1.218278453,0
0.231145367,0.066210137,0.849379244,0.150620756,0
0.62555806,0.094473795,0.657385838,0.342614162,0
-0.230538882,0.061911198,0.561261942,0.438738058,0
0.031224512,-0.040528489,0.156794581,0.843205419,0
-5.207852466,10.40323021,-1.969158762,2.969158762,0
-1.249618093,0.16951742,0.486619053,0.513380947,0
0.345477003,0.150099049,0.666074197,0.333925803,0
-0.565437309,-0.000629318,0.038001393,0.961998607,0
-13.66300279,-0.659592158,-0.43685495,1.43685495,0
-1.078054943,-0.280289331,0.884044688,0.115955312,0
0.493862441,0.050876844,0.500781768,0.499218232,0
0.617566388,0.208151519,0.721096704,0.278903296,0
-0.008343077,0.014500208,0.95874812,0.041254871,0
-0.350773304,-0.065904974,-0.030723143,1.030723143,0
