a,b,c,d,br
-0.75145,-0.22757,-0.05286,0.00038,1
0.06178,-1.33702,0.07764,-0.33007,1
-0.13055,-0.41046,-0.04565,0.29189,1
-1.20802,-0.35553,-0.1001,-0.35125,1
-0.01037,-0.02695,0.01507,0.17017,1
-0.44778,-0.61842,-0.55162,-0.11615,1
-0.14674,-0.48874,-0.48874,-0.39582,1
-0.09667,0.1926,-0.7269,-0.07256,1
0.04773,-1.46315,-0.61648,-0.0823,1
-0.62633,-0.48676,0.04434,0.01432,1
0.24052,-2.9046,0.1651,-1.06182,1
0.13364,-0.31379,-0.05586,0.70992,1
-0.02474,0,-0.31687,0.05145,1
0.00982,-0.19639,0.62032,0.47345,1
0.03385,0.35587,0.0501,0.55489,1
0.14326,-0.52766,0.31206,-0.32695,1
-0.13103,1.48675,0.11922,0.24267,1
0.11313,0.01204,0.06695,0.17512,1
0.21087,-0.03564,0.0234,0.63573,1
-0.90014,-1.08691,-0.01024,-0.27604,1
-0.14337,-0.35313,-0.0537,0.00003,1
-10.51953,-63.73833,-4.69488,-10.47495,1
-8.89172,-38.10117,-4.44147,-8.06564,1
-3.11879,-24.80826,-0.24961,-4.50085,1
0.32711,-0.13717,0,0.03309,1
-0.91116,-16.14882,-3.87121,-0.91116,1
-6.11566,-17.6601,-1.45793,-5.61724,1
-0.73117,-4.54522,-0.84546,-1.4837,1
-0.83656,-3.44119,-0.35594,-0.4946,1
0.09934,-3.57115,-0.10415,-0.49946,1
0.0502,-0.77308,-0.09976,-0.04369,1
0.26607,0.08528,0.04466,0.36758,1
-0.030154641,0.118633517,-0.045551694,0.248298801,0
0.063278665,0.458330401,-0.067325966,0.404765257,0
-0.028102673,0.367783475,0.053833449,0.588265986,0
0.08397769,0.127629355,-0.016656338,0.396416462,0
0.089893542,1.203597759,0.173256114,0.429142601,0
-0.128025193,-0.503457363,-0.415046783,0.713534489,0
0.505488844,0.01793378,0.175055206,0.764877298,0
0.062576443,0.507914498,0.148030173,0.275227833,0
0.077320875,0.534571122,0.081473154,0.650858081,0
-0.118974433,-4.176880886,-0.224098454,0.144401281,0
0.20366773,0.438351464,-0.016100874,0.665234525,0
0.442956376,0.389458548,0.101728776,0.584439948,0
0.262995464,0.272829043,0.199980448,0.586878332,0
0.35891056,0.152813274,0.17604233,0.648799858,0
0.123319597,-0.519992934,-0.05443933,0.108020454,0
1.650994319,-0.127355525,0.464681994,0.535318006,0
-0.071213761,0.026004835,0.757745918,0.22870481,0
-0.152279127,0.066918911,0.066918911,1.00191201,0
0.198299109,0.078386763,0.600594869,0.399405131,0
0.585439765,0.036505466,0.515298251,0.484701749,0
-0.432553694,-0.153484482,0.625916301,0.374083699,0
-0.161304106,-0.065082711,-0.000403531,1.000403581,0
-3.22028248,7.45537276,-0.274682234,1.274682234,0
-2.433607859,-0.084354097,0.601809431,0.398190569,0
0.370856039,0.135267596,0.607580619,0.392419381,0
-0.761860776,0.052368364,-0.039543388,1.039543388,0
-14.48882142,-0.972572761,-0.268545513,1.268545513,0
-4.847527204,-0.668078452,0.896461849,0.103538151,0
0.439041254,-0.112237843,0.4351233,0.5648767,0
0.678746107,0.253542615,0.78392519,0.21607481,0
-0.024085398,-0.010368714,0.94282841,0.05717159,0
-0.523118767,-0.008901343,-0.089343114,1.089343114,0
