a,b,c,d,e,f,g,br
0.015860893,-0.104748498,-0.076325816,0.101455219,-0.011764015,0.898544781,0.030186298,1
0.165008247,-1.10052165,-0.117488407,-0.236846701,-0.183063626,1.236846701,-0.097554562,1
-0.075549068,-0.317830433,-0.02495178,0.321295067,-0.070055378,0.678704933,-0.063848711,1
0.060185027,-0.113596542,-0.024930927,-0.109895084,-0.117735807,1.109895084,0.003955072,1
0.029229796,-0.037390932,-0.017009379,0.435082686,-0.024411132,0.564917314,-0.020537983,1
-0.002913224,-0.035372768,-0.015652156,0.286033767,-0.186847971,0.713966233,0.032503377,1
0.033914031,-0.035688861,-0.040319193,0.100733399,-0.035688861,0.899266601,-0.02246934,1
-0.068109923,0.266336516,0.075535014,0.400626102,0.03200221,0.599373898,0.068882685,1
0.284293102,-0.428986125,-0.175223559,0.267083761,-0.17574525,0.732916239,-0.254257139,1
-0.003536786,-0.416899119,-0.124376193,-0.002851566,-0.266918367,1.002851566,0.119447871,1
0.310916574,-2.712988985,0.151895472,-0.953642179,-0.014440222,1.953642179,0.230081563,1
0.48125293,-0.432608987,-0.069162258,0.822420143,-0.118060671,0.177579857,-0.101212081,1
-1.233341369,-0.68827366,0.121929966,-0.390164391,-0.10934573,1.390164391,0.027747245,1
-0.007082784,0.021808498,0.06476983,0.496510414,0.031557646,0.503489586,0.066864715,1
0.06561592,0.345470652,0.039588995,0.530679287,-0.009624119,0.469320713,0.143507876,1
0.120636865,-0.120024495,-0.364972443,-0.482547459,-0.472137171,1.482547459,0.149418249,1
-0.041668001,1.294342997,0.081763575,0.197561269,0.039047733,0.802438731,0.182573816,1
0.085560325,-11.84860935,-0.02344971,0.169787637,-0.011848609,0.830212363,-0.087328246,1
0.158988797,-0.034277195,0.000969581,0.608085816,-0.036520868,0.391914184,0.00221565,1
0.066393483,-0.93090142,-0.18213537,-0.131897475,-0.30456326,1.131897475,-0.013401655,1
-0.085831897,-0.674444817,-0.318833359,-0.172521378,-0.479560917,1.172521378,-0.181995639,1
-1.007047889,-12.29126607,0.396359108,-0.990903765,-1.300813378,1.990903765,-0.205460209,1
-3.094295693,-17.4887078,-7.739464494,-3.068684517,-9.353201397,4.068684517,-3.528987194,1
-4.11410409,-26.49015245,-0.351471534,-4.476278684,-1.416177118,5.476278684,-0.162957142,1
0.374641524,-0.02322201,0,0.125757071,-0.096975445,0.874242929,-0.026768983,1
0.404572326,-10.63957272,-6.267900719,0.031991028,-6.362855097,0.968008972,-1.281088366,1
-2.609972867,-5.777415319,-1.69579027,-1.903772485,-2.186169804,2.903772485,-0.225558762,1
-0.320027217,-1.804455921,-0.39895668,-0.031351955,0.128077185,1.031351955,-0.173526179,1
0.166780698,-1.612353317,-0.655250131,0.00969936,-0.672084586,0.99030064,0.182258278,1
-0.726212203,-2.727789053,-0.569067469,-0.258033902,-0.717276722,1.258033902,0.115511527,1
0.124227191,-0.672733576,-0.216097533,0.047177443,-0.262928295,0.952822557,-0.080863235,1
0.226670879,0.108631157,-0.164052413,0.38375958,-0.118877565,0.61624042,0.01819905,1
-0.009137186,0.17730941,0.060410073,0.308718967,0.067527246,0.691281033,0.063214692,0
0.169526558,0.544965291,0.095468372,0.593440449,0.066102488,0.406559551,0.081857889,0
0.003020164,0.404778814,0.090755004,0.640785389,0.028794058,0.359214611,0.1272276,0
-0.038487974,0.16421839,0.100222628,0.225680447,0.032223066,0.774319553,0.086816232,0
0.112184755,1.10740907,0.191947673,0.509113419,0.095575605,0.490886581,0.147753241,0
0.163708849,0.065466359,-0.073342158,0.809438464,-0.053119668,0.190561536,-0.063580384,0
0.516280478,0.095407652,0.163682727,0.838299062,0.105763722,0.161700938,0.084401854,0
0.032240478,0.498428277,0.156513528,0.262300731,0.090615334,0.737699269,0.191136593,0
0.047297978,0.539443562,0.101710411,0.666047736,8.67487E-05,0.333952264,0.165658058,0
-0.181558678,-10.33205784,-0.513308937,-0.091044967,-0.808948734,1.091044967,-0.047063802,0
0.155841648,0.523351199,0.267564126,0.766126978,0.136463246,0.233873022,0.201332195,0
0.487177538,0.389781466,0.091858479,0.612054896,0.054546837,0.387945104,-0.002047793,0
0.336250013,0.151199898,0.228061398,0.559553077,0.14937646,0.440446923,0.18401101,0
0.402249155,0.821797732,0.190005289,0.662428641,0.143589272,0.337571359,-0.047583583,0
0.106975286,-0.329668433,-0.496524421,0.174902214,-0.533881748,0.825097786,-0.00382164,0
1.368629318,0.080863129,0.478657693,0.521342307,0.047396607,0.065055324,0.047396607,0
-0.086346564,0.032116144,0.743226818,0.23316523,0.025455726,0.1735039,0.025455726,0
-0.17335595,0.026653303,-0.142071687,1.142071687,-0.035451481,0.011808194,-0.035451481,0
0.186264374,0.07220261,0.613228453,0.386771547,0.045078823,0.082263781,0.045078823,0
0.563423373,0.059215236,0.541295614,0.458704386,0.037916928,0.100777544,0.037916928,0
-0.387829886,-0.154584401,0.419202859,0.580797141,-0.176179645,-0.050122146,-0.176179645,0
